START: HEAP 244772
PROCESSING: CHARS 11435, TIME 15503ms
144: 9 - 67, 67 - 67, count=130
145: 9 - 45, 10 - 62, count=131
146: 43 - 73, 44 - 83, count=132
147: 80 - 96, 80 - 93, count=133
148: 72 - 87, 85 - 88, count=134
149: 16 - 61, 13 - 16, count=135
150: 92 - 92, 2 - 91, count=135
151: 22 - 43, 42 - 43, count=136
152: 31 - 83, 30 - 79, count=137
153: 38 - 95, 38 - 97, count=138
154: 63 - 85, 71 - 84, count=139
155: 11 - 11, 11 - 19, count=140
156: 13 - 14, 13 - 56, count=141
157: 2 - 5, 4 - 81, count=142
158: 59 - 64, 62 - 65, count=143
159: 71 - 89, 8 - 59, count=143
160: 93 - 99, 87 - 94, count=144
161: 25 - 25, 26 - 72, count=144
162: 56 - 98, 57 - 97, count=145
163: 33 - 36, 37 - 94, count=145
164: 38 - 85, 84 - 86, count=146
165: 1 - 79, 78 - 94, count=147
166: 77 - 98, 76 - 99, count=148
167: 14 - 72, 13 - 71, count=149
168: 17 - 92, 18 - 86, count=150
169: 18 - 99, 57 - 98, count=151
170: 2 - 87, 3 - 87, count=152
171: 78 - 95, 86 - 94, count=153
172: 43 - 44, 32 - 46, count=154
173: 59 - 62, 60 - 62, count=155
174: 12 - 24, 24 - 25, count=156
175: 41 - 66, 21 - 66, count=157
176: 13 - 82, 13 - 83, count=158
177: 53 - 87, 11 - 87, count=159
178: 7 - 96, 7 - 96, count=160
179: 24 - 26, 25 - 32, count=161
180: 13 - 70, 8 - 13, count=162
181: 12 - 93, 12 - 17, count=163
182: 4 - 39, 5 - 38, count=164
183: 95 - 97, 73 - 96, count=165
184: 73 - 81, 74 - 83, count=166
185: 57 - 62, 63 - 63, count=166
186: 58 - 59, 56 - 59, count=167
187: 38 - 98, 38 - 97, count=168
188: 20 - 75, 19 - 74, count=169
189: 8 - 62, 74 - 99, count=169
190: 2 - 96, 3 - 91, count=170
191: 7 - 97, 6 - 8, count=171
192: 1 - 99, 1 - 99, count=172
193: 41 - 81, 42 - 80, count=173
194: 91 - 91, 43 - 92, count=174
195: 4 - 73, 4 - 4, count=175
196: 40 - 43, 42 - 54, count=176
197: 37 - 66, 47 - 56, count=177
198: 88 - 89, 20 - 73, count=177
199: 10 - 98, 10 - 98, count=178
200: 51 - 81, 51 - 51, count=179
201: 36 - 81, 5 - 36, count=180
202: 16 - 64, 61 - 64, count=181
203: 22 - 98, 21 - 99, count=182
204: 29 - 76, 75 - 77, count=183
205: 2 - 95, 1 - 96, count=184
206: 58 - 58, 2 - 58, count=185
207: 10 - 62, 11 - 42, count=186
208: 8 - 8, 35 - 90, count=186
209: 53 - 78, 53 - 94, count=187
210: 9 - 74, 10 - 73, count=188
211: 41 - 86, 40 - 86, count=189
212: 2 - 40, 3 - 80, count=190
213: 26 - 26, 25 - 62, count=191
214: 38 - 99, 37 - 97, count=192
215: 24 - 91, 25 - 98, count=193
216: 26 - 93, 25 - 94, count=194
217: 31 - 53, 1 - 54, count=195
218: 16 - 47, 24 - 47, count=196
219: 25 - 91, 39 - 92, count=197
220: 22 - 91, 40 - 92, count=198
221: 8 - 23, 8 - 8, count=199
222: 83 - 88, 83 - 90, count=200
223: 62 - 85, 63 - 86, count=201
224: 27 - 48, 27 - 27, count=202
225: 50 - 58, 37 - 59, count=203
226: 5 - 74, 5 - 64, count=204
227: 29 - 77, 29 - 77, count=205
228: 19 - 24, 19 - 19, count=206
229: 12 - 12, 11 - 87, count=207
230: 37 - 87, 38 - 71, count=208
231: 99 - 99, 12 - 95, count=208
232: 77 - 77, 24 - 78, count=209
233: 72 - 85, 71 - 99, count=210
234: 7 - 7, 7 - 87, count=211
235: 3 - 97, 58 - 96, count=212
236: 14 - 16, 15 - 99, count=213
237: 47 - 94, 93 - 94, count=214
238: 36 - 82, 14 - 82, count=215
239: 2 - 22, 9 - 21, count=216
240: 2 - 74, 73 - 75, count=217
241: 88 - 88, 46 - 88, count=218
242: 1 - 93, 93 - 93, count=219
243: 48 - 67, 48 - 67, count=220
244: 78 - 78, 12 - 77, count=220
245: 52 - 99, 34 - 52, count=221
246: 66 - 66, 65 - 71, count=222
247: 64 - 92, 65 - 91, count=223
248: 18 - 44, 19 - 58, count=224
249: 38 - 44, 27 - 38, count=225
250: 44 - 99, 44 - 85, count=226
251: 69 - 84, 31 - 81, count=227
252: 44 - 86, 44 - 86, count=228
253: 76 - 77, 2 - 76, count=229
254: 71 - 72, 24 - 72, count=230
255: 23 - 72, 24 - 72, count=231
256: 8 - 23, 9 - 22, count=232
257: 76 - 96, 92 - 94, count=233
258: 7 - 77, 76 - 76, count=234
259: 14 - 15, 17 - 79, count=234
260: 13 - 99, 14 - 96, count=235
261: 34 - 90, 33 - 43, count=236
262: 6 - 81, 6 - 81, count=237
263: 17 - 73, 3 - 11, count=237
264: 2 - 22, 3 - 23, count=238
265: 88 - 99, 87 - 98, count=239
266: 6 - 52, 52 - 53, count=240
267: 8 - 93, 76 - 94, count=241
268: 88 - 95, 84 - 96, count=242
269: 64 - 94, 64 - 67, count=243
270: 12 - 29, 11 - 30, count=244
271: 50 - 58, 32 - 59, count=245
272: 70 - 90, 71 - 90, count=246
273: 50 - 57, 58 - 59, count=246
274: 2 - 65, 1 - 64, count=247
275: 9 - 45, 8 - 44, count=248
276: 57 - 90, 56 - 88, count=249
277: 7 - 84, 7 - 7, count=250
278: 46 - 84, 45 - 45, count=250
279: 17 - 59, 16 - 58, count=251
280: 3 - 11, 11 - 15, count=252
281: 64 - 93, 20 - 70, count=253
282: 54 - 93, 54 - 92, count=254
283: 23 - 24, 23 - 92, count=255
284: 17 - 82, 17 - 26, count=256
285: 21 - 79, 78 - 94, count=257
286: 18 - 94, 93 - 94, count=258
287: 25 - 40, 26 - 84, count=259
288: 20 - 83, 19 - 83, count=260
289: 20 - 20, 20 - 90, count=261
290: 1 - 96, 88 - 96, count=262
291: 12 - 57, 13 - 13, count=263
292: 26 - 99, 26 - 98, count=264
293: 69 - 70, 39 - 69, count=265
294: 14 - 83, 82 - 82, count=266
295: 24 - 99, 24 - 98, count=267
296: 2 - 10, 10 - 82, count=268
297: 16 - 62, 41 - 82, count=269
298: 1 - 71, 1 - 72, count=270
299: 26 - 30, 25 - 29, count=271
300: 5 - 96, 5 - 99, count=272
301: 8 - 8, 7 - 61, count=273
302: 26 - 99, 27 - 27, count=274
303: 26 - 90, 8 - 19, count=274
304: 22 - 89, 22 - 90, count=275
305: 7 - 68, 69 - 69, count=275
306: 57 - 59, 3 - 58, count=276
307: 92 - 93, 86 - 92, count=277
308: 51 - 83, 50 - 77, count=278
309: 87 - 87, 11 - 86, count=278
310: 2 - 51, 3 - 81, count=279
311: 63 - 65, 25 - 64, count=280
312: 34 - 81, 33 - 83, count=281
313: 5 - 37, 5 - 91, count=282
314: 13 - 55, 1 - 24, count=283
315: 15 - 15, 15 - 83, count=284
316: 18 - 22, 18 - 88, count=285
317: 11 - 41, 11 - 41, count=286
318: 93 - 95, 6 - 94, count=287
319: 65 - 68, 65 - 70, count=288
320: 31 - 87, 32 - 81, count=289
321: 11 - 84, 3 - 85, count=290
322: 96 - 97, 32 - 97, count=291
323: 27 - 67, 66 - 68, count=292
324: 87 - 89, 22 - 88, count=293
325: 31 - 75, 24 - 76, count=294
326: 18 - 96, 17 - 97, count=295
327: 3 - 95, 4 - 36, count=296
328: 66 - 99, 67 - 97, count=297
329: 21 - 71, 22 - 72, count=298
330: 56 - 77, 78 - 85, count=298
331: 2 - 96, 3 - 95, count=299
332: 20 - 93, 92 - 92, count=300
333: 35 - 97, 96 - 98, count=301
334: 32 - 37, 17 - 36, count=302
335: 8 - 95, 7 - 94, count=303
336: 21 - 81, 7 - 81, count=304
337: 68 - 69, 68 - 89, count=305
338: 22 - 47, 23 - 48, count=306
339: 23 - 78, 23 - 24, count=307
340: 50 - 52, 12 - 51, count=308
341: 14 - 96, 14 - 98, count=309
342: 18 - 46, 34 - 45, count=310
343: 2 - 88, 1 - 2, count=311
344: 11 - 60, 10 - 12, count=312
345: 97 - 97, 60 - 97, count=313
346: 18 - 70, 19 - 71, count=314
347: 5 - 94, 93 - 95, count=315
348: 68 - 95, 67 - 87, count=316
349: 12 - 87, 93 - 95, count=316
350: 58 - 68, 57 - 60, count=317
351: 92 - 93, 5 - 92, count=318
352: 21 - 21, 20 - 71, count=319
353: 48 - 82, 81 - 99, count=320
354: 9 - 59, 10 - 84, count=321
355: 29 - 50, 29 - 94, count=322
356: 14 - 15, 14 - 15, count=323
357: 65 - 90, 65 - 80, count=324
358: 10 - 36, 10 - 35, count=325
359: 24 - 81, 80 - 82, count=326
360: 9 - 10, 10 - 51, count=327
361: 48 - 54, 54 - 54, count=328
362: 49 - 50, 50 - 56, count=329
363: 58 - 92, 57 - 70, count=330
364: 16 - 27, 4 - 17, count=331
365: 1 - 98, 23 - 99, count=332
366: 31 - 94, 93 - 93, count=333
367: 39 - 41, 8 - 40, count=334
368: 87 - 95, 95 - 95, count=335
369: 58 - 90, 59 - 89, count=336
370: 9 - 97, 30 - 97, count=337
371: 10 - 79, 10 - 78, count=338
372: 3 - 41, 3 - 41, count=339
373: 3 - 63, 62 - 63, count=340
374: 65 - 97, 66 - 66, count=341
375: 83 - 83, 65 - 84, count=342
376: 16 - 60, 17 - 59, count=343
377: 61 - 83, 63 - 84, count=344
378: 66 - 68, 66 - 67, count=345
379: 78 - 78, 18 - 79, count=346
380: 13 - 83, 12 - 82, count=347
381: 20 - 69, 21 - 69, count=348
382: 25 - 95, 60 - 96, count=349
383: 22 - 22, 22 - 97, count=350
384: 28 - 85, 2 - 84, count=351
385: 65 - 84, 84 - 85, count=352
386: 43 - 87, 88 - 88, count=352
387: 4 - 4, 3 - 99, count=353
388: 4 - 84, 2 - 4, count=354
389: 53 - 55, 45 - 54, count=355
390: 16 - 17, 11 - 70, count=356
391: 44 - 98, 44 - 97, count=357
392: 43 - 64, 43 - 58, count=358
393: 28 - 37, 19 - 27, count=358
394: 23 - 77, 76 - 78, count=359
395: 1 - 92, 6 - 92, count=360
396: 52 - 86, 52 - 86, count=361
397: 59 - 86, 58 - 59, count=362
398: 8 - 94, 7 - 95, count=363
399: 48 - 98, 98 - 98, count=364
400: 46 - 49, 47 - 48, count=365
401: 31 - 82, 32 - 85, count=366
402: 58 - 87, 57 - 87, count=367
403: 45 - 47, 46 - 86, count=368
404: 61 - 86, 61 - 76, count=369
405: 38 - 84, 37 - 85, count=370
406: 92 - 92, 53 - 93, count=371
407: 21 - 68, 22 - 68, count=372
408: 69 - 98, 70 - 98, count=373
409: 17 - 91, 92 - 92, count=373
410: 35 - 35, 35 - 35, count=374
411: 17 - 53, 17 - 53, count=375
412: 26 - 40, 37 - 37, count=376
413: 22 - 88, 22 - 88, count=377
414: 10 - 30, 10 - 30, count=378
415: 97 - 99, 27 - 98, count=379
416: 17 - 37, 17 - 37, count=380
417: 19 - 31, 19 - 28, count=381
418: 4 - 86, 3 - 85, count=382
419: 11 - 32, 12 - 31, count=383
420: 67 - 77, 67 - 98, count=384
421: 12 - 40, 9 - 9, count=384
422: 36 - 83, 83 - 84, count=385
423: 10 - 71, 70 - 70, count=386
424: 57 - 92, 15 - 84, count=387
425: 1 - 4, 3 - 91, count=388
426: 3 - 11, 7 - 12, count=389
427: 31 - 90, 90 - 91, count=390
428: 5 - 22, 2 - 5, count=391
429: 6 - 91, 5 - 91, count=392
430: 92 - 92, 40 - 72, count=392
431: 4 - 8, 12 - 97, count=392
432: 5 - 76, 52 - 75, count=393
433: 5 - 91, 91 - 91, count=394
434: 2 - 99, 1 - 96, count=395
435: 19 - 43, 19 - 43, count=396
436: 48 - 98, 47 - 97, count=397
437: 25 - 96, 19 - 97, count=398
438: 3 - 91, 3 - 99, count=399
439: 11 - 13, 12 - 38, count=400
440: 67 - 71, 17 - 71, count=401
441: 11 - 11, 10 - 99, count=402
442: 1 - 6, 5 - 97, count=403
443: 57 - 57, 35 - 57, count=404
444: 87 - 89, 24 - 88, count=405
445: 92 - 92, 29 - 93, count=406
446: 31 - 35, 28 - 36, count=407
447: 20 - 80, 19 - 19, count=407
448: 82 - 82, 5 - 82, count=408
449: 10 - 31, 32 - 55, count=408
450: 18 - 82, 28 - 81, count=409
451: 29 - 73, 29 - 88, count=410
452: 10 - 93, 10 - 10, count=411
453: 40 - 42, 40 - 42, count=412
454: 22 - 32, 22 - 26, count=413
455: 71 - 72, 58 - 71, count=414
456: 36 - 97, 36 - 41, count=415
457: 5 - 94, 5 - 98, count=416
458: 96 - 99, 87 - 97, count=417
459: 12 - 95, 13 - 95, count=418
460: 97 - 99, 20 - 98, count=419
461: 24 - 84, 24 - 84, count=420
462: 76 - 92, 75 - 97, count=421
463: 14 - 54, 14 - 53, count=422
464: 37 - 51, 37 - 52, count=423
465: 69 - 71, 35 - 70, count=424
466: 41 - 41, 35 - 40, count=424
467: 35 - 92, 92 - 92, count=425
468: 58 - 68, 57 - 67, count=426
469: 57 - 75, 27 - 76, count=427
470: 21 - 85, 22 - 84, count=428
471: 42 - 59, 41 - 41, count=428
472: 96 - 96, 1 - 96, count=429
473: 27 - 29, 28 - 98, count=430
474: 14 - 81, 15 - 15, count=431
475: 42 - 94, 42 - 93, count=432
476: 22 - 59, 15 - 60, count=433
477: 3 - 98, 3 - 69, count=434
478: 15 - 15, 3 - 15, count=435
479: 67 - 82, 36 - 47, count=435
480: 27 - 54, 10 - 55, count=436
481: 44 - 57, 43 - 56, count=437
482: 56 - 68, 56 - 56, count=438
483: 90 - 92, 33 - 91, count=439
484: 92 - 94, 82 - 95, count=440
485: 8 - 69, 69 - 69, count=441
486: 37 - 76, 36 - 75, count=442
487: 21 - 96, 1 - 21, count=443
488: 15 - 15, 10 - 18, count=444
489: 83 - 83, 9 - 83, count=445
490: 11 - 11, 11 - 64, count=446
491: 34 - 94, 25 - 93, count=447
492: 54 - 77, 77 - 77, count=448
493: 34 - 70, 35 - 70, count=449
494: 20 - 96, 20 - 77, count=450
495: 59 - 64, 32 - 63, count=451
496: 28 - 75, 27 - 97, count=452
497: 3 - 85, 2 - 86, count=453
498: 52 - 89, 52 - 91, count=454
499: 43 - 54, 45 - 53, count=455
500: 20 - 27, 20 - 28, count=456
501: 45 - 91, 68 - 89, count=457
502: 7 - 61, 12 - 84, count=458
503: 7 - 94, 6 - 95, count=459
504: 32 - 33, 32 - 79, count=460
505: 2 - 5, 5 - 99, count=461
506: 7 - 63, 6 - 53, count=462
507: 16 - 78, 17 - 78, count=463
508: 19 - 54, 54 - 54, count=464
509: 66 - 74, 66 - 75, count=465
510: 20 - 93, 21 - 93, count=466
511: 42 - 98, 1 - 99, count=467
512: 5 - 24, 4 - 5, count=468
513: 10 - 95, 94 - 95, count=469
514: 1 - 99, 1 - 99, count=470
515: 81 - 81, 81 - 96, count=471
516: 39 - 39, 23 - 38, count=471
517: 3 - 41, 3 - 4, count=472
518: 35 - 71, 36 - 36, count=473
519: 11 - 39, 38 - 88, count=474
520: 39 - 56, 40 - 57, count=475
521: 1 - 6, 6 - 82, count=476
522: 11 - 34, 1 - 34, count=477
523: 7 - 7, 7 - 94, count=478
524: 3 - 97, 2 - 98, count=479
525: 47 - 99, 47 - 99, count=480
526: 66 - 91, 96 - 97, count=480
527: 5 - 89, 97 - 99, count=480
528: 62 - 62, 36 - 61, count=480
529: 7 - 17, 6 - 16, count=481
530: 96 - 96, 57 - 78, count=481
531: 83 - 95, 13 - 94, count=482
532: 98 - 99, 1 - 99, count=483
533: 2 - 93, 92 - 93, count=484
534: 93 - 93, 51 - 92, count=484
535: 23 - 23, 23 - 84, count=485
536: 45 - 82, 44 - 82, count=486
537: 7 - 32, 7 - 33, count=487
538: 9 - 97, 10 - 75, count=488
539: 23 - 77, 25 - 69, count=489
540: 9 - 91, 8 - 9, count=490
541: 4 - 95, 47 - 93, count=491
542: 64 - 67, 2 - 96, count=492
543: 48 - 72, 72 - 73, count=493
544: 46 - 92, 45 - 93, count=494
545: 2 - 95, 94 - 95, count=495
546: 68 - 76, 69 - 69, count=496
547: 2 - 51, 8 - 51, count=497
548: 57 - 81, 82 - 94, count=497
549: 7 - 60, 13 - 60, count=498
550: 24 - 71, 23 - 35, count=499
551: 24 - 97, 24 - 97, count=500
552: 24 - 94, 32 - 95, count=501
553: 21 - 35, 21 - 22, count=502
554: 22 - 51, 23 - 76, count=503
555: 32 - 94, 32 - 91, count=504
556: 9 - 94, 9 - 90, count=505
557: 87 - 88, 9 - 87, count=506
558: 5 - 12, 7 - 13, count=507
559: 35 - 73, 74 - 74, count=507
560: 61 - 64, 48 - 65, count=508
561: 17 - 94, 71 - 94, count=509
562: 54 - 54, 29 - 57, count=510
563: 75 - 77, 19 - 76, count=511
564: 14 - 14, 15 - 72, count=511
565: 14 - 14, 14 - 43, count=512
566: 29 - 33, 29 - 95, count=513
567: 1 - 1, 1 - 81, count=514
568: 46 - 81, 80 - 80, count=515
569: 39 - 66, 10 - 66, count=516
570: 55 - 88, 55 - 71, count=517
571: 91 - 94, 34 - 96, count=518
572: 28 - 93, 27 - 89, count=519
573: 56 - 97, 55 - 71, count=520
574: 17 - 94, 93 - 95, count=521
575: 27 - 67, 26 - 66, count=522
576: 90 - 99, 83 - 98, count=523
577: 24 - 25, 24 - 70, count=524
578: 42 - 98, 79 - 99, count=525
579: 94 - 94, 46 - 88, count=525
580: 7 - 71, 70 - 81, count=526
581: 29 - 95, 28 - 83, count=527
582: 85 - 85, 3 - 84, count=527
583: 12 - 89, 63 - 88, count=528
584: 8 - 31, 9 - 9, count=529
585: 3 - 93, 70 - 95, count=530
586: 19 - 19, 19 - 94, count=531
587: 16 - 40, 1 - 41, count=532
588: 54 - 88, 88 - 88, count=533
589: 39 - 39, 29 - 39, count=534
590: 39 - 59, 59 - 59, count=535
591: 20 - 80, 19 - 79, count=536
592: 2 - 7, 2 - 53, count=537
593: 20 - 97, 19 - 58, count=538
594: 4 - 70, 4 - 70, count=539
595: 56 - 89, 55 - 90, count=540
596: 86 - 95, 95 - 95, count=541
597: 66 - 93, 65 - 73, count=542
598: 4 - 84, 5 - 85, count=543
599: 34 - 88, 33 - 41, count=544
600: 26 - 61, 26 - 78, count=545
601: 48 - 79, 49 - 79, count=546
602: 66 - 99, 52 - 99, count=547
603: 77 - 77, 43 - 78, count=548
604: 49 - 90, 50 - 80, count=549
605: 17 - 71, 16 - 37, count=550
606: 45 - 91, 45 - 90, count=551
607: 71 - 71, 27 - 70, count=551
608: 96 - 96, 3 - 96, count=552
609: 15 - 89, 14 - 90, count=553
610: 17 - 96, 7 - 96, count=554
611: 95 - 95, 2 - 94, count=554
612: 12 - 85, 11 - 54, count=555
613: 58 - 67, 34 - 73, count=556
614: 28 - 54, 29 - 90, count=557
615: 6 - 84, 5 - 83, count=558
616: 11 - 49, 48 - 48, count=559
617: 71 - 71, 11 - 72, count=560
618: 29 - 99, 99 - 99, count=561
619: 18 - 92, 19 - 93, count=562
620: 85 - 86, 35 - 85, count=563
621: 51 - 73, 51 - 89, count=564
622: 1 - 99, 57 - 99, count=565
623: 29 - 53, 28 - 81, count=566
624: 6 - 62, 7 - 63, count=567
625: 78 - 78, 77 - 79, count=568
626: 18 - 43, 18 - 71, count=569
627: 31 - 32, 32 - 50, count=570
628: 14 - 39, 40 - 40, count=570
629: 41 - 62, 42 - 61, count=571
630: 3 - 69, 5 - 68, count=572
631: 51 - 57, 48 - 58, count=573
632: 40 - 40, 41 - 98, count=573
633: 11 - 12, 11 - 47, count=574
634: 8 - 81, 8 - 84, count=575
635: 24 - 54, 10 - 55, count=576
636: 4 - 48, 5 - 97, count=577
637: 11 - 90, 11 - 56, count=578
638: 78 - 92, 78 - 78, count=579
639: 10 - 66, 67 - 76, count=579
640: 92 - 92, 13 - 93, count=580
641: 75 - 98, 67 - 68, count=580
642: 4 - 95, 2 - 96, count=581
643: 15 - 70, 16 - 23, count=582
644: 21 - 67, 20 - 21, count=583
645: 38 - 48, 38 - 47, count=584
646: 77 - 81, 80 - 82, count=585
647: 25 - 74, 30 - 73, count=586
648: 90 - 90, 91 - 91, count=586
649: 28 - 70, 20 - 71, count=587
650: 16 - 89, 37 - 93, count=588
651: 55 - 68, 34 - 69, count=589
652: 7 - 97, 50 - 97, count=590
653: 16 - 38, 17 - 37, count=591
654: 81 - 81, 34 - 81, count=592
655: 28 - 81, 27 - 29, count=593
656: 20 - 73, 19 - 29, count=594
657: 51 - 83, 52 - 82, count=595
658: 57 - 57, 56 - 56, count=595
659: 63 - 76, 20 - 62, count=595
660: 47 - 56, 46 - 48, count=596
661: 14 - 63, 62 - 62, count=597
662: 16 - 64, 63 - 65, count=598
663: 86 - 97, 87 - 96, count=599
664: 3 - 3, 3 - 57, count=600
665: 26 - 27, 20 - 27, count=601
666: 2 - 99, 3 - 3, count=602
667: 1 - 2, 1 - 49, count=603
668: 16 - 58, 31 - 59, count=604
669: 2 - 14, 2 - 46, count=605
670: 6 - 31, 5 - 50, count=606
671: 19 - 65, 19 - 65, count=607
672: 34 - 38, 27 - 37, count=608
673: 2 - 91, 3 - 90, count=609
674: 5 - 78, 5 - 78, count=610
675: 7 - 20, 6 - 19, count=611
676: 44 - 60, 44 - 59, count=612
677: 61 - 83, 61 - 61, count=613
678: 35 - 38, 36 - 57, count=614
679: 4 - 98, 5 - 99, count=615
680: 5 - 5, 4 - 86, count=616
681: 4 - 64, 21 - 88, count=617
682: 34 - 73, 34 - 76, count=618
683: 52 - 78, 51 - 79, count=619
684: 95 - 97, 7 - 96, count=620
685: 50 - 56, 51 - 57, count=621
686: 4 - 97, 5 - 97, count=622
687: 2 - 80, 11 - 79, count=623
688: 15 - 33, 4 - 15, count=624
689: 1 - 19, 19 - 85, count=625
690: 2 - 98, 17 - 97, count=626
691: 40 - 49, 39 - 84, count=627
692: 17 - 19, 18 - 75, count=628
693: 49 - 49, 48 - 74, count=629
694: 72 - 72, 12 - 72, count=630
695: 15 - 77, 14 - 98, count=631
696: 2 - 85, 6 - 58, count=632
